Sample Number	Value
1	0
2	0.615432
3	0.615432
4	0.736033
5	0.736033
6	1.33852
7	1.33852
8	1.01488
9	1.01488
10	0.923414
11	0.923414
12	-1.03951
13	-1.03951
14	0.726204
15	0.726204
16	0.968999
17	0.968999
18	-0.629159
19	-0.629159
20	0.640668
21	0.640668
22	-1.21938
23	-1.21938
24	1.26644
25	1.26644
26	-0.148902
27	-0.148902
28	0.952542
29	0.952542
30	0.66308
31	0.66308
32	0.951099
33	0.951099
34	0.95817
35	0.95817
36	0.604008
37	0.604008
38	1.18736
39	1.18736
40	-1.16823
41	-1.16823
42	0.654767
43	0.654767
44	1.05217
45	1.05217
46	1.05387
47	1.05387
48	-1.18681
49	-1.18681
50	1.06506
51	1.06506
52	-1.21144
53	-1.21144
54	1.18156
55	1.18156
56	0.995839
57	0.995839
58	-0.787835
59	-0.787835
60	1.14487
61	1.14487
62	-0.808596
63	-0.808596
64	1.1093
65	1.1093
66	0.981717
67	0.981717
68	-1.17353
69	-1.17353
70	-1.06167
71	-1.06167
72	-1.18072
73	-1.18072
74	0.810235
75	0.810235
76	0.847974
77	0.847974
78	1.14031
79	1.14031
80	-1.11179
81	-1.11179
82	-0.997687
83	-0.997687
84	0.949822
85	0.949822
86	-0.903345
87	-0.903345
88	0.946871
89	0.946871
90	-1.11715
91	-1.11715
92	-1.0662
93	-1.0662
94	-1.14581
95	-1.14581
96	-0.929312
97	-0.929312
98	-1.19098
99	-1.19098
100	-1.09905
101	-1.09905
102	-0.904964
103	-0.904964
104	-1.21588
105	-1.21588
106	-0.875938
107	-0.875938
108	0.757244
109	0.757244
110	-1.08302
111	-1.08302
112	-1.11616
113	-1.11616
114	-0.562016
115	-0.562016
116	-0.819628
117	-0.819628
118	-1.18848
119	-1.18848
120	0.100993
121	0.100993
122	-1.06791
123	-1.06791
124	-0.749328
125	-0.749328
126	-0.858945
127	-0.858945
128	-1.06052
129	-1.06052
130	-0.587436
131	-0.587436
132	1.03589
133	1.03589
134	1.04096
135	1.04096
136	-1.06542
137	-1.06542
138	-0.927099
139	-0.927099
140	-1.12589
141	-1.12589
142	1.18407
143	1.18407
144	0.959581
145	0.959581
146	-0.932542
147	-0.932542
148	-0.741821
149	-0.741821
150	-0.758283
151	-0.758283
152	0.974391
153	0.974391
154	1.03608
155	1.03608
156	-0.685014
157	-0.685014
158	0.897901
159	0.897901
160	-0.843255
161	-0.843255
162	0.821548
163	0.821548
164	0.878953
165	0.878953
166	-0.978156
167	-0.978156
168	0.999601
169	0.999601
170	-0.992572
171	-0.992572
172	-0.89987
173	-0.89987
174	0.981872
175	0.981872
176	-0.938152
177	-0.938152
178	1.02598
179	1.02598
180	-0.156511
181	-0.156511
182	1.20165
183	1.20165
184	-1.02018
185	-1.02018
186	0.801046
187	0.801046
188	1.12074
189	1.12074
190	-0.610075
191	-0.610075
192	-1.09988
193	-1.09988
194	-0.822125
195	-0.822125
196	1.22094
197	1.22094
198	-0.786795
199	-0.786795
200	-0.92686
201	-0.92686
202	-1.00371
203	-1.00371
204	1.23238
205	1.23238
206	1.25884
207	1.25884
208	1.17882
209	1.17882
210	-0.67743
211	-0.67743
212	0.948007
213	0.948007
214	1.17596
215	1.17596
216	-1.00705
217	-1.00705
218	-0.887003
219	-0.887003
220	-0.951827
221	-0.951827
222	0.871139
223	0.871139
224	0.868656
225	0.868656
226	1.06842
227	1.06842
228	0.814711
229	0.814711
230	-1.12322
231	-1.12322
232	-1.36304
233	-1.36304
234	-1.2048
235	-1.2048
236	1.04312
237	1.04312
238	-0.859699
239	-0.859699
